,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
13,11419,Toncoin,TON,toncoin,634,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2550986088.226417,5117297199.170759,True,,14,3414166606.0,21825450222.274143,,2024-12-13T09:57:00.000Z,6.392614286578299,310424180.7067502,-0.8644,-0.25448545,-0.46584286,-5.24426375,22.18469537,20.97878343,10.82493785,16307470112.458683,0.4539,32712907184.09,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
14,20947,Sui,SUI,sui,459,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2927660018.558888,10000000000.0,False,,15,,,,2024-12-13T09:57:00.000Z,4.701778595979052,2209782224.4574833,-42.2746,-0.33055447,0.29642987,11.66696407,52.54670873,110.28776713,358.51829034,13765209211.563814,0.3829,47017785959.79,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
15,6636,Polkadot,DOT,polkadot-new,850,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'layer-1']",,1528185516.4706697,1528185516.4706697,True,,16,1528184971.0248497,13694705724.012228,,2024-12-13T09:57:00.000Z,8.961418927466694,820553628.5199031,-20.355,-0.1029691,-3.54858826,-12.92179412,78.05450455,109.40556662,104.60236376,13694710611.980724,0.381,13694710611.98,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
16,512,Stellar,XLM,stellar,648,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season']",50001806812.0,30171792359.069664,50001786911.162926,False,,17,,,,2024-12-13T09:57:00.000Z,0.4187379775432841,648724260.409606,-38.8375,-0.27771762,-4.39148066,-10.57526928,237.00857128,355.18139403,334.94620019,12634075311.292744,0.3516,20937655457.97,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
17,4642,Hedera,HBAR,hedera,296,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'defi', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'layer-1']",50000000000.0,38228257944.31563,50000000000.0,False,,18,,,,2024-12-13T09:57:00.000Z,0.3049889816419713,1228665707.396775,-18.9576,1.28653377,0.93258319,8.37623443,431.99724019,489.63916515,485.87125711,11659197460.383423,0.3243,15249449082.1,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
18,1831,Bitcoin Cash,BCH,bitcoin-cash,957,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1', '2017-2018-alt-season']",21000000.0,19801265.625,19801265.625,False,,19,,,,2024-12-13T09:57:00.000Z,529.0610596930643,520981114.18407786,-16.4854,-0.67485696,-4.6912659,-10.19034175,28.26395962,60.48338618,59.80928683,10476078574.826347,0.2914,11110282253.55,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
19,7083,Uniswap,UNI,uniswap,1142,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",,600483073.71,1000000000.0,False,,20,,,2.00075349,2024-12-13T09:57:00.000Z,17.331590222401104,807293303.6831102,-21.45,-0.18829593,-6.29961609,6.63692894,105.73291095,118.05138418,157.47996903,10407326569.029598,0.2895,17331590222.4,5201703562.71899,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2024-12-13 15:27:41.824053
20,24478,Pepe,PEPE,pepe,486,2023-04-17T06:18:08.000Z,['memes'],420690000000000.0,420689899999994.8,420689899999994.8,False,,21,,,,2024-12-13T09:57:00.000Z,2.3529026003400626e-05,2946830055.2443542,-31.3495,-0.36708697,-5.27491093,8.38693166,81.15114473,124.7656017,200.93264582,9898423596.467888,0.2754,9898425949.37,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,2024-12-13 15:27:41.824053
21,2,Litecoin,LTC,litecoin,1287,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', '2017-2018-alt-season']",84000000.0,75300405.80410936,84000000.0,False,,22,,,,2024-12-13T09:57:00.000Z,119.66703581609093,1277807189.4888794,6.7677,-0.97733621,-1.60041526,-10.40642696,64.05170456,81.966389,81.84422494,9010976358.326536,0.2507,10052031008.55,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
22,3957,UNUS SED LEO,LEO,unus-sed-leo,53,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,924531729.9,985239504.0,False,,23,,,,2024-12-13T09:57:00.000Z,9.1467634701168,1696293.2386877,166.0002,-0.89726952,-3.86841572,-2.05323374,25.66037519,50.84760212,59.95957133,8456473054.013212,0.2354,9011752704.5,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2024-12-13 15:27:41.824053
