,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
33,3077,VeChain,VET,vechain,315,2017-08-22T00:00:00.000Z,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio', 'real-world-assets']",86712634466.0,80985041177.0,85985041177.0,False,,34,80985041177.0,4720538837.911718,,2024-12-13T09:57:00.000Z,0.05828902188979026,188199797.4302827,-22.8783,-1.51985547,-7.1550683,-9.92777525,133.70935152,152.89157606,158.69853929,4720538837.911718,0.1313,5054394648.51,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
34,11092,Bitget Token,BGB,bitget-token-new,22,2021-07-29T00:00:00.000Z,['centralized-exchange'],2000000000.0,1400000000.0,2000000000.0,False,,35,1400000000.0,4421712848.831277,,2024-12-13T09:57:00.000Z,3.1583663205937693,284336190.5895213,-23.481,-0.26316528,-8.36665516,34.67725866,125.0806545,185.96496019,230.60555774,4421712848.831277,0.123,6316732641.19,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x54D2252757e1672EEaD234D27B1270728fF90581,2024-12-13 15:27:41.824053
35,3773,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance,412,2019-03-02T00:00:00.000Z,"['cosmos-ecosystem', 'ai-big-data', 'collectibles-nfts', 'iot', 'binance-launchpad', 'web3', 'injective-ecosystem', 'generative-ai', 'dwf-labs-portfolio', 'ai-agents']",2719493897.0,2436090863.7879715,2719493896.672,False,,36,,,,2024-12-13T09:57:00.000Z,1.772569562593584,389387290.5421208,-14.2147,-0.42509718,-4.90782338,-12.30775058,37.3323198,17.44554118,31.50168135,4318140516.862871,0.1201,4820492107.48,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
36,11841,Arbitrum,ARB,arbitrum,1058,2023-03-23T12:50:11.000Z,"['scaling', 'dao', 'dapp', 'ethereum-ecosystem', 'polychain-capital-portfolio', 'layer-2', 'rollups', 'pantera-capital-portfolio', 'arbitrum-ecosytem', 'modular-blockchain', 'egirl-capital-portfolio']",,4097359817.0,10000000000.0,False,,37,,,,2024-12-13T09:57:00.000Z,1.040836270640565,1022663026.2769222,26.6202,-0.58193822,-2.50717675,-8.8344595,78.84590844,92.52088616,95.72891426,4264680711.3987875,0.1186,10408362706.41,,2024-12-13T09:57:00.000Z,11841.0,Arbitrum,ARB,arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,2024-12-13 15:27:41.824053
37,27075,Mantle,MNT,mantle,98,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",6219316795.0,3366841707.8368406,6219316794.99,False,,38,3366841707.8368406,4238652164.9386525,,2024-12-13T09:57:00.000Z,1.2589401381931735,142219306.09507394,-23.3465,-0.31031699,-4.80521251,8.7246303,82.2153228,102.50758849,118.04195934,4238652164.9386525,0.1179,7829747545.36,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-12-13 15:27:41.824053
38,22974,Bittensor,TAO,bittensor,111,2023-03-06T05:20:00.000Z,"['ai-big-data', 'distributed-computing', 'oracles', 'dao', 'polkadot-ecosystem', 'polychain-capital-portfolio', 'dcg-portfolio', 'open-source', 'generative-ai', 'depin']",21000000.0,7380936.0,7380936.0,False,,39,,,,2024-12-13T09:57:00.000Z,572.5107987213656,351247131.29433566,6.5993,-0.73934572,-8.04444744,-20.74737474,5.51684401,-11.31114471,81.83674862,4225665564.6712813,0.1176,12022726773.15,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
39,20396,Kaspa,KAS,kaspa,156,2022-06-01T00:03:58.000Z,"['mineable', 'dag', 'pow', 'store-of-value', 'polychain-capital-portfolio', 'layer-1']",28704026601.0,25345109612.002483,25345109612.002483,False,,40,,,,2024-12-13T09:57:00.000Z,0.1603491184259878,226192210.66489145,-15.848,-0.31296148,-7.03539073,-1.8945477,21.34563203,16.90305283,-5.70498682,4064065982.6946282,0.1131,4602665360.75,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
40,2280,Filecoin,FIL,filecoin,549,2017-12-13T00:00:00.000Z,"['mineable', 'ai-big-data', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3', 'filecoin-ecosystem', 'alleged-sec-securities', 'depin', '2017-2018-alt-season']",,611003081.0,1959748858.0,False,,41,,,,2024-12-13T09:57:00.000Z,6.620307663445448,488241316.5636282,-20.7626,-0.37916244,-4.46579827,-15.59441935,67.89375081,81.25183429,79.83366676,4045028379.53308,0.1125,12974140383.05,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
41,328,Monero,XMR,monero,304,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', '2017-2018-alt-season']",,18446744.07370955,18446744.07370955,True,,42,,,,2024-12-13T09:57:00.000Z,207.16799595465366,153602615.16529116,12.5786,0.45899759,4.62382386,3.65046643,39.06997036,34.12370011,21.38282212,3821575001.6387916,0.1063,3821575001.64,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
42,6536,MANTRA,OM,mantra,219,2020-08-11T00:00:00.000Z,"['cosmos-ecosystem', 'defi', 'dao', 'kenetic-capital-portfolio', 'exnetwork-capital-portfolio', 'polygon-ecosystem', 'bnb-chain', 'real-world-assets']",,944493682.3599999,1794645824.22,True,,43,863089960.9,3395949728.1040726,278490.5425401,2024-12-13T09:57:00.000Z,3.9346416734622833,83556119.40804268,-60.6841,-1.06438036,-6.12551225,-4.24199443,174.37754912,154.50214053,258.49282744,3716244202.9355044,0.1034,7061288249.08,13344.23844,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,2024-12-13 15:27:41.824053
43,3794,Cosmos,ATOM,cosmos,836,2019-03-14T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem', 'layer-1', 'alleged-sec-securities']",,390934204.0,390934204.0,True,,44,,,,2024-12-13T09:57:00.000Z,9.11307770530982,424058419.24639,-4.7802,0.72691287,1.02697114,-7.00396018,85.42521747,104.57637226,117.50615835,3562613778.715441,0.0991,3562613778.72,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
44,4030,Algorand,ALGO,algorand,461,2019-06-20T00:00:00.000Z,"['pos', 'platform', 'research', 'smart-contracts', 'arrington-xrp-capital-portfolio', 'kenetic-capital-portfolio', 'usv-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities']",10000000000.0,8315407985.554924,10000000000.0,False,,45,8315408077.215243,3516827756.233095,,2024-12-13T09:57:00.000Z,0.4229290641633609,509822108.3694518,-9.3235,-0.48223437,-7.22179267,-5.7352998,199.48756818,238.61244201,221.42094932,3516827717.4672823,0.0978,4229290641.63,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
45,4847,Stacks,STX,stacks,210,2019-10-28T00:00:00.000Z,"['mineable', 'platform', 'collectibles-nfts', 'defi', 'smart-contracts', 'metaverse', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'hashkey-capital-portfolio', 'huobi-capital-portfolio', 'usv-portfolio', 'web3', 'injective-ecosystem', 'bitcoin-ecosystem']",1818000000.0,1504573782.1281,1504570782.1281,False,,46,1048765672.087772,2411203160.6285515,,2024-12-13T09:57:00.000Z,2.299086654722959,206029759.82100126,-18.3463,-0.15264341,-4.99524096,-14.65762658,20.87128457,27.12465823,42.36844513,3459145503.536763,0.0962,4179739538.29,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
46,3513,Fantom,FTM,fantom,746,2018-10-29T00:00:00.000Z,"['platform', 'enterprise-solutions', 'defi', 'research', 'scaling', 'smart-contracts', 'fantom-ecosystem', 'injective-ecosystem', 'layer-1', '2017-2018-alt-season']",3175000000.0,2803634835.5265927,3175000000.0,False,,47,,,,2024-12-13T09:57:00.000Z,1.208169906769006,398125486.706376,-17.2393,-0.3066736,-6.65691919,-5.79066852,72.52532292,72.17510015,150.74495791,3387267237.852501,0.0942,3835939453.99,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
47,10603,Immutable,IMX,immutable-x,338,2021-06-24T00:00:00.000Z,"['collectibles-nfts', 'zero-knowledge-proofs', 'gaming', 'scaling', 'layer-2', 'rollups', 'arrington-xrp-capital-portfolio', 'alameda-research-portfolio']",2000000000.0,1694765880.3898141,2000000000.0,False,,48,,,,2024-12-13T09:57:00.000Z,1.9340228904633183,120127416.84060435,0.9554,-0.72966486,-1.14109749,-6.34866522,59.2453526,23.57763852,48.90369409,3277716006.650119,0.0912,3868045780.93,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2024-12-13 15:27:41.824053
48,11840,Optimism,OP,optimism-ethereum,601,2022-05-31T16:19:46.000Z,"['layer-2', 'optimism-ecosystem', 'modular-blockchain']",4294967296.0,1255070491.0,4294967296.0,False,,49,,,,2024-12-13T09:57:00.000Z,2.6111614696938656,879609185.9475652,117.0325,1.18489968,5.41025447,1.32771703,69.99785859,48.35274421,68.48838334,3277191707.8489614,0.0912,11214853116.91,,2024-12-13T09:57:00.000Z,11840.0,Optimism,OP,optimism-ethereum,0x4200000000000000000000000000000000000042,2024-12-13 15:27:41.824053
49,22861,Celestia,TIA,celestia,241,2023-10-31T16:51:41.000Z,"['platform', 'cosmos-ecosystem', 'modular-blockchain', 'egirl-capital-portfolio', 'data-availability', 'cmc-crypto-awards-2024']",,450308787.698267,1089160767.122985,False,,50,141043527.75,1022860360.6204172,,2024-12-13T09:57:00.000Z,7.252090024530865,291216834.44465786,-21.61,0.55805269,-3.45182521,-16.7509199,41.78296058,18.85863174,62.89877066,3265679867.225189,0.0908,7898691934.36,,2024-12-13T09:57:00.000Z,12220.0,Osmosis,OSMO,osmosis,ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877,2024-12-13 15:27:41.824053
